id,separation_type,cease_date,employment_status,career_move_to_public_sector,career_move_to_private_sector,interpersonal_conflicts,job_dissatisfaction,maternity_family,ill_health,gender,age,length_of_service,dataset
148,Resignation,2012.0,Permanent Full-time,False,True,False,False,False,False,Male,26-30,7-10,dete
149,Retirement,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,11-20,dete
150,Other,2012.0,Permanent Full-time,False,True,False,True,False,False,Female,26-30,3-4,dete
151,Termination,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,11-20,dete
153,Other,2012.0,Permanent Full-time,False,False,False,True,False,False,Female,36-40,11-20,dete
154,Termination,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,36-40,7-10,dete
155,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Male,56 or older,More than 20 years,dete
156,Retirement,2012.0,Permanent Full-time,False,False,False,True,False,False,Female,21-25,5-6,dete
157,Other,2012.0,Temporary Full-time,False,False,False,False,False,False,Male,26-30,5-6,dete
158,Other,2012.0,Temporary Full-time,False,False,False,False,False,False,Male,21-25,3-4,dete
159,Resignation,2012.0,Temporary Part-time,True,False,False,False,False,False,Male,21-25,1-2,dete
160,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
161,Resignation,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,41-45,7-10,dete
162,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
163,Other,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,36-40,5-6,dete
164,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Male,56 or older,More than 20 years,dete
165,Resignation,2012.0,Permanent Full-time,False,True,False,False,False,False,Female,41-45,7-10,dete
166,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Male,26-30,7-10,dete
167,Other,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,46-50,11-20,dete
168,Other,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,36-40,7-10,dete
